corpus,chunk1,chunk2,chunk3,chunk4
vadászatot,vad,ász,at,ot
alkalmából,al,kal,má,ból
hangulatom,han,gu,la,tom
hangulatom,han,gul,at,om
tanácsomat,tan,ács,om,at
gyerekeinket,gyere,ke,in,ket
történtekért,tört,én,te,kért
történtekért,történ,te,ké,rt
éjjelente,éj,jel,en,te
olyanoknak,oly,an,ok,nak
okosabbak,ok,os,ab,bak
követted,kö,ve,tt,ed
hányingerem,hány,ing,er,em
városházán,vár,os,ház,án
hajtottam,ha,jt,ot,tam
hajtottam,ha,jt,ott,am
hajtottam,haj,to,tt,am
milligramm,mill,ig,ra,mm
érdemeltem,érd,eme,lt,em
varázsolni,va,ráz,sol,ni
ültetett,ül,te,te,tt
jogosult,jo,go,su,lt
tengerpartra,tenger,pa,rt,ra
internetre,int,er,net,re
közvetett,köz,ve,te,tt
gondoljanak,gon,dol,ja,nak
gondoljanak,gon,dol,jan,ak
mutattad,mu,ta,tt,ad
kísérteties,kísér,te,ti,es
falusiak,fa,lu,si,ak
figyelemreméltó,figyel,em,re,méltó
figyelemreméltó,figyel,em,remél,tó
figyelemreméltó,figyelem,rem,él,tó
dollárról,do,ll,ár,ról
életveszélyes,él,et,veszély,es
életveszélyes,élet,ve,szél,yes
életveszélyes,élet,vesz,él,yes
terápiás,te,rá,pi,ás
képességet,kép,ess,ég,et
képességet,képe,ss,ég,et
birtokon,bi,rt,ok,on
szervezetnek,szerv,ez,et,nek
generátort,gene,rá,to,rt
akármennyire,ak,ár,mennyi,re
védettséget,véd,et,ts,éget
változatlan,vált,oz,at,lan
sylvester,sy,lv,est,er
semmisíteni,semmi,sí,te,ni
hallgatjuk,hall,ga,tj,uk
értettél,ér,te,tt,él
váltotta,vá,lt,ot,ta
tarthatom,ta,rt,ha,tom
tarthatom,ta,rt,hat,om
akárhová,ak,ár,ho,vá
változásra,vált,oz,ás,ra
köszönettel,kösz,ön,et,tel
undorodom,un,do,ro,dom
undorodom,un,do,rod,om
garantálni,ga,ran,tál,ni
tartotok,ta,rt,ot,ok
családomról,csa,lá,dom,ról
rendeltél,ren,de,lt,él
tennivaló,ten,ni,va,ló
ugyanannyira,ugy,an,annyi,ra
ugyanannyira,ugyan,ann,yi,ra
metafora,me,ta,fo,ra
kevesebben,ke,vese,bb,en
jelenetben,jele,ne,tb,en
kelleténél,kell,et,én,él
fektetni,fe,kt,et,ni
lassítani,las,sí,ta,ni
magadfajta,mag,ad,faj,ta
gondoljam,gon,do,lj,am
lakókocsiban,lakó,ko,csi,ban
ilyesmihez,il,yes,mi,hez
ilyesmihez,ily,es,mi,hez
bámultam,bá,mu,lt,am
dohányozni,do,hány,oz,ni
vadállatok,vad,ál,la,tok
vadállatok,vad,áll,at,ok
barátotok,ba,rá,to,tok
telefonáltak,tele,fo,nál,tak
tanuljon,ta,nu,lj,on
emberiségnek,ember,is,ég,nek
gondoskodok,gon,dos,ko,dok
gondoskodok,gond,os,ko,dok
tartalma,ta,rt,al,ma
köztudott,köz,tu,do,tt
hivatalt,hi,va,ta,lt
testvérei,te,st,vér,ei
rejtegetni,re,jt,eget,ni
rejtegetni,rejt,eg,et,ni
kérdésedre,kérd,és,ed,re
testvéremmel,te,st,vérem,mel
testvéremmel,test,vér,em,mel
istállóban,is,tál,ló,ban
istállóban,ist,ál,ló,ban
házasságról,háza,ss,ág,ról
manhattani,man,hat,ta,ni
winchester,win,che,st,er
hozzámenni,hozz,ám,en,ni
emlékeztetem,emlék,ezt,et,em
hívhatjuk,hív,ha,tj,uk
halálbüntetés,hal,ál,büntet,és
viszonozni,visz,on,oz,ni
terjednek,te,rj,ed,nek
fiatalkorú,fi,at,al,korú
magatokkal,ma,ga,tok,kal
magatokkal,mag,at,ok,kal
olyasmire,oly,as,mi,re
forgalomból,for,gal,om,ból
üzenetemet,üzen,et,em,et
nővéremmel,nő,vér,em,mel
rituális,ri,tu,ál,is
álmaimat,ál,ma,im,at
darabokban,da,ra,bok,ban
darabokban,da,rab,ok,ban
darabokban,dar,ab,ok,ban
ejtettem,ej,te,tt,em
harapott,ha,ra,po,tt
unalmasak,un,al,mas,ak
tudattal,tu,da,tt,al
találtalak,ta,lá,lt,alak
találtalak,tal,ál,tal,ak
tehetséget,te,he,ts,éget
emlékeztessen,emlék,ez,tess,en
emlékeztessen,emlék,ezt,es,sen
emlékeztessen,emlék,ezt,ess,en
nappaliba,nap,pa,li,ba
javasolja,ja,va,sol,ja
ingatlanügynök,ing,at,lan,ügynök
gazdagabb,gaz,da,ga,bb
borravaló,bor,ra,va,ló
családokat,csa,lá,do,kat
családokat,csa,lá,dok,at
képességekkel,kép,ess,égek,kel
képességekkel,képe,ss,égek,kel
magamfajta,mag,am,faj,ta
ezredesnek,ez,re,des,nek
ezredesnek,ez,red,es,nek
hullámokat,hull,ám,ok,at
fizetésemelést,fizetés,eme,lé,st
fizetésemelést,fizetése,me,lé,st
védettségi,véd,et,ts,égi
néhanapján,né,hana,pj,án
néhanapján,néha,na,pj,án
alkalmával,al,kal,má,val
fiatalokat,fia,ta,lo,kat
fiatalokat,fia,tal,ok,at
fiatalokat,fiat,al,ok,at
veszélyesen,ve,szél,ye,sen
veszélyesen,ve,szél,yes,en
veszélyesen,vesz,él,ye,sen
veszélyesen,vesz,él,yes,en
mondjanak,mon,dj,an,ak
szórakoztál,szó,rak,oz,tál
szórakoztál,szór,ak,oz,tál
balesetről,bal,es,et,ről
emlékeztessem,emlék,ez,tess,em
emlékeztessem,emlék,ezt,es,sem
emlékeztessem,emlék,ezt,ess,em
mentettél,men,te,tt,él
nagykövetség,nagy,köve,ts,ég
nyomunkban,nyom,un,kb,an
tartanám,ta,rt,an,ám
madeleine,ma,del,ei,ne
döntésemet,dönt,és,em,et
garantáltan,ga,ran,tál,tan
listámon,li,st,ám,on
önállóan,ön,ál,ló,an
nyugodjak,nyu,go,dj,ak
kölcsönvettem,kölcsön,ve,tt,em
akárhova,ak,ár,ho,va
hallgatod,ha,ll,ga,tod
fogadjon,fo,ga,dj,on
varázslattal,varázs,la,tt,al
természetellenes,természete,ll,en,es
birodalma,bi,ro,dal,ma
birodalma,bi,rod,al,ma
igyekezett,ig,ye,keze,tt
váltottam,vá,lt,ot,tam
váltottam,vá,lt,ott,am
életednek,él,et,ed,nek
teljesítette,tel,je,sí,tette
élettelen,él,et,tel,en
szenvedélyesen,szenved,él,ye,sen
szenvedélyesen,szenved,él,yes,en
szemeidet,sze,me,id,et
vállalatnál,váll,al,at,nál
hatalmasat,ha,tal,mas,at
hatalmasat,hat,al,mas,at
balesetem,bal,es,et,em
egyiptomban,eg,yip,tom,ban
egyiptomban,egy,ip,tom,ban
wellington,we,ll,ing,ton
egyikben,eg,yi,kb,en
mosogató,mo,so,ga,tó
doktorral,do,kt,orr,al
ágyadban,ág,ya,db,an
hangulata,han,gu,la,ta
születésnapját,szül,et,és,napját
hozzáállása,hozzá,ál,lá,sa
társaságba,tár,sas,ág,ba
társaságba,társ,as,ág,ba
karaktert,ka,rak,te,rt
karaktert,kar,ak,te,rt
motorokat,mo,to,ro,kat
motorokat,mo,tor,ok,at
egyetértenek,egy,et,érte,nek
egyetértenek,egye,tér,te,nek
egyetértenek,egyet,ér,te,nek
névtelenül,név,tel,en,ül
veszélyeztetett,veszély,ez,te,tett
karjaimban,kar,ja,im,ban
barátoknak,ba,rá,tok,nak
szívverése,szív,ve,ré,se
csináltattam,csinál,ta,tt,am
technikusok,tech,ni,ku,sok
technikusok,tech,nik,us,ok
rettegés,re,tt,eg,és
félreérted,fél,re,ér,ted
félreérted,fél,re,ért,ed
reménytelenül,remény,tel,en,ül
ügyvédemmel,ügy,véd,em,mel
érdemelt,ér,de,me,lt
középiskolába,közép,is,ko,lába
szívességre,szív,ess,ég,re
szívességre,szíve,ss,ég,re
hatalmasabb,hat,alma,sa,bb
dolgokért,dol,go,ké,rt
rengetegszer,ren,get,eg,szer
főiskolát,fő,is,ko,lát
vadászott,vad,ás,zo,tt
haverjaid,ha,ver,ja,id
lábaimat,lá,ba,im,at
érdemelnek,ér,de,mel,nek
választásokon,választ,ás,ok,on
fővárosban,fő,vár,os,ban
operatőr,op,er,at,őr
vitatkoztak,vita,tk,oz,tak
küldetésed,küld,et,és,ed
értesíts,ér,te,sí,ts
testvéreid,te,st,vére,id
sivatagba,si,va,tag,ba
magasságos,maga,ss,ág,os
generális,gen,er,ál,is
uralkodj,ur,al,ko,dj
marhaságot,mar,has,ág,ot
választottalak,válasz,to,tt,alak
választottalak,választ,ot,tal,ak
választottalak,választ,ott,al,ak
érezheti,ér,ez,he,ti
légitársaság,lé,gi,társas,ág
légitársaság,lé,gitár,sas,ág
légitársaság,légi,tár,sas,ág
légitársaság,légi,társ,as,ág
tetejéről,te,te,jé,ről
születésem,szül,et,és,em
értesítsen,érte,sí,ts,en
jogaimat,jo,ga,im,at
szólhattál,szól,ha,tt,ál
kórházakat,kór,há,zak,at
kórházakat,kór,ház,ak,at
fősulira,fő,su,li,ra
kapcsolta,ka,pc,sol,ta
bámultok,bá,mu,lt,ok
fogalmatok,fo,gal,ma,tok
fogalmatok,fog,al,ma,tok
mcnamara,mc,na,ma,ra
orvosságot,or,voss,ág,ot
életedre,él,et,ed,re
akárhogyis,ak,ár,hogy,is
kamerája,ka,me,rá,ja
kövessem,kö,ve,ss,em
amatőrök,am,at,őr,ök
baloldali,ba,lol,da,li
mellkason,me,ll,ka,son
félreértettem,fél,re,ér,tettem
félreértettem,fél,re,ért,ettem
félreértettem,fél,re,értett,em
félreértettem,félre,ér,tett,em
félreértettem,félre,érte,tt,em
fordultál,for,du,lt,ál
árvaházban,ár,va,ház,ban
erősségem,erő,ss,ég,em
amerikait,ame,ri,ka,it
alaptalan,al,ap,ta,lan
alaptalan,al,ap,tal,an
valódinak,va,ló,di,nak
dolgaidat,dol,ga,id,at
isteneknek,is,te,nek,nek
társaságra,tár,sas,ág,ra
társaságra,társ,as,ág,ra
vesztetted,vesz,te,tt,ed
nővéredet,nő,vér,ed,et
álmaidat,ál,ma,id,at
ártottam,ár,to,tt,am
formalitás,for,mal,it,ás
raktárból,ra,kt,ár,ból
abnormális,ab,norm,ál,is
igazinak,ig,az,in,ak
álmaidban,ál,ma,id,ban
álmaidban,ál,mai,db,an
másodpercenként,másod,perc,en,ként
vállalatnak,váll,al,at,nak
családomban,csa,lá,dom,ban
családomban,csa,lá,domb,an
feminista,fe,min,is,ta
reményeket,rem,én,ye,ket
fővárosa,fő,vá,ro,sa
vádoltak,vá,do,lt,ak
következők,köve,tk,ez,ők
egyéniség,egy,én,is,ég
nővéremnek,nő,vér,em,nek
eredetit,er,ed,et,it
következnek,köve,tk,ez,nek
telefonáljon,tele,fo,nál,jon
testvéremnek,te,st,vérem,nek
testvéremnek,test,vér,em,nek
mesternek,me,st,er,nek
válasszak,vá,la,ss,zak
prentiss,pr,en,ti,ss
ikertestvére,ike,rt,est,vére
ikertestvére,iker,te,st,vére
látványa,lá,tv,án,ya
patkányokat,pat,kán,yo,kat
emlékezteti,emlék,ez,te,ti
titkomat,ti,tk,om,at
kapcsolatotok,kapcsol,at,ot,ok
tagjainak,tag,ja,in,ak
majdhogynem,ma,jd,hogy,nem
barátomtól,ba,rá,tom,tól
útvonalon,út,von,al,on
meneküljön,me,nek,ül,jön
meneküljön,me,nek,ülj,ön
orbitális,or,bi,tál,is
mentetted,men,te,tt,ed
halloweenkor,hal,lowe,en,kor
halloweenkor,hallo,we,en,kor
unatkoztam,una,tk,oz,tam
várossal,vá,ro,ss,al
láthatáron,lá,that,ár,on
láthatáron,lát,ha,tár,on
láthatáron,lát,hat,ár,on
alvilági,al,vi,lá,gi
hasonlókat,ha,son,ló,kat
hasonlókat,has,on,ló,kat
atyaisten,at,ya,is,ten
atyaisten,at,ya,ist,en
tudományosan,tudom,án,yo,san
eszközökkel,esz,köz,ök,kel
hullanak,hu,ll,an,ak
félreértett,fél,re,ér,tett
félreértett,fél,re,érte,tt
félreértett,félre,ér,te,tt
maradhatna,mar,ad,hat,na
indultál,in,du,lt,ál
hivatalba,hi,va,tal,ba
hivatalba,hiv,at,al,ba
féregjárat,fér,eg,jár,at
mountain,mo,un,ta,in
nyilvántartás,nyilván,ta,rt,ás
gondolattal,gon,dol,at,tal
követelt,kö,ve,te,lt
jóbarátok,jó,ba,rá,tok
házastársi,ház,as,tár,si
házastársi,háza,st,ár,si
istentelen,is,ten,tel,en
istentelen,ist,en,tel,en
rajtakaptam,raj,ta,kap,tam
rajtakaptam,raj,tak,ap,tam
rajtakaptam,rajt,ak,ap,tam
vámpírokat,vá,mp,írok,at
törvényeit,tör,vén,ye,it
organikus,or,ga,nik,us
testvérének,te,st,vér,ének
ügyvédjével,ügy,véd,jé,vel
istennője,is,ten,nő,je
istennője,ist,en,nő,je
állapotot,ál,lap,ot,ot
állapotot,áll,ap,ot,ot
véghezvinni,vég,hez,vin,ni
szeretetből,szer,et,et,ből
karjaiba,ka,rj,ai,ba
kutatott,ku,ta,to,tt
temploma,te,mp,lo,ma
láthatott,lát,ha,to,tt
darabjaira,da,rab,ja,ira
darabjaira,da,rab,jai,ra
darabjaira,dar,ab,ja,ira
darabjaira,dar,ab,jai,ra
haverokkal,ha,ver,ok,kal
ajánlatomat,ajánl,at,om,at
kellenének,ke,ll,en,ének
keveredni,ke,ve,red,ni
keveredni,ke,ver,ed,ni
keveredni,kev,er,ed,ni
állatoknak,ál,la,tok,nak
állatoknak,áll,at,ok,nak
unokatestvéred,un,oka,test,véred
unokatestvéred,un,oka,testvér,ed
unokatestvéred,uno,ka,test,véred
unokatestvéred,uno,ka,testvér,ed
unokatestvéred,uno,kat,est,véred
unokatestvéred,uno,kate,st,véred
unokatestvéred,unoka,te,st,véred
unokatestvéred,unoka,test,vér,ed
kellemesebb,kell,eme,se,bb
virágokkal,vir,ág,ok,kal
készenléti,kés,zen,lé,ti
készenléti,kész,en,lé,ti
ilyenekre,il,ye,nek,re
csatatéren,csa,ta,tér,en
mutatkozott,mutat,ko,zo,tt
főhadiszállás,fő,ha,di,szállás
főhadiszállás,fő,hadi,száll,ás
bármelyiket,bár,mel,yi,ket
hallgattak,hall,ga,tt,ak
jóváhagyta,jó,vá,hagy,ta
teljesített,tel,je,sí,tett
köteléket,kö,te,lé,ket
ostobának,os,to,bá,nak
hajthatatlan,haj,that,at,lan
hajthatatlan,hajt,hat,at,lan
álltatok,ál,lt,at,ok
részmunkaidős,rész,mun,ka,idős
részmunkaidős,rész,munka,id,ős
jutottatok,jut,ot,ta,tok
jutottatok,jut,ott,at,ok
rákerestem,rák,er,est,em
ugyanezen,ugy,an,ez,en
alapokat,al,ap,ok,at
ugyanannak,ugy,an,an,nak
ugyanannak,ugy,an,ann,ak
vádoljuk,vá,do,lj,uk
olyasmiket,oly,as,mi,ket
olyasmiket,oly,as,mik,et
helyrehozom,hely,re,hoz,om
tarthatja,ta,rt,hat,ja
lovasság,lo,va,ss,ág
világunkban,világ,un,kb,an
partjainál,pa,rt,jai,nál
partjainál,par,tj,ai,nál
partjainál,par,tj,ain,ál
partjainál,part,ja,in,ál
logikusan,lo,gi,ku,san
poharakat,po,ha,ra,kat
poharakat,po,ha,rak,at
amerikának,am,erik,án,ak
amerikának,ame,ri,kán,ak
parkolóba,par,ko,ló,ba
haladjon,ha,la,dj,on
jelentkeznek,jelen,tk,ez,nek
gyerekeimnek,gyere,ke,im,nek
hajtanak,ha,jt,an,ak
tulajdonosok,tulaj,do,no,sok
tulajdonosok,tulaj,do,nos,ok
tulajdonosok,tulaj,don,os,ok
olyasvalakivel,oly,as,val,akivel
olyasvalakivel,oly,as,valaki,vel
olyasvalakivel,olyas,val,aki,vel
hatalmába,ha,tal,má,ba
hatalmába,hat,al,má,ba
végrehajtó,vég,re,haj,tó
kapcsolatosan,kapcsol,at,os,an
őrültebb,őr,ül,te,bb
villámcsapás,vi,ll,ám,csapás
emlékeztetnek,emlék,ezt,et,nek
okozhatja,ok,oz,hat,ja
isteneket,is,te,ne,ket
isteneket,is,te,nek,et
szabaduljon,szab,adu,lj,on
kockáztathatjuk,kockáztat,ha,tj,uk
california,cal,if,or,nia
látomások,lá,to,má,sok
látomások,lá,to,más,ok
látomások,lá,tom,ás,ok
látomások,lát,om,ás,ok
következzen,köve,tk,ez,zen
hajtotta,ha,jt,ot,ta
korunkban,ko,run,kb,an
korunkban,kor,un,kb,an
testemen,te,st,em,en
fokozott,fo,ko,zo,tt
határidőt,ha,tár,id,őt
határidőt,hat,ár,id,őt
bogarakat,bo,ga,ra,kat
bogarakat,bo,ga,rak,at
paranoid,pa,ra,no,id
pillanatokban,pil,lana,tok,ban
szabadnapos,szab,ad,na,pos
szabadnapos,szab,ad,nap,os
rendbejön,ren,db,ej,ön
cserbenhagyásos,cserben,hagy,ás,os
szüleménye,szül,em,én,ye
fiataloknak,fia,tal,ok,nak
fiataloknak,fiat,al,ok,nak
margarita,mar,ga,ri,ta
baseballt,ba,se,bal,lt
baseballt,ba,seb,al,lt
rendelkezett,ren,del,keze,tt
helyrehozzuk,hely,re,hozz,uk
állíthatjuk,állít,ha,tj,uk
egyesülés,eg,ye,sül,és
egyesülés,eg,yes,ül,és
egyesülés,egy,es,ül,és
dallamot,da,ll,am,ot
üldögélni,ül,dög,él,ni
tisztviselő,tiszt,vi,se,lő
szabályaim,szab,ál,ya,im
végrendelet,vég,ren,del,et
családunkban,család,un,kb,an
munkatársai,mun,ka,tár,sai
munkatársai,mun,ka,társ,ai
munkatársai,mun,kat,ár,sai
nevedben,ne,ve,db,en
részvényeket,rész,vén,ye,ket
létrehozta,lét,re,hoz,ta
menetben,me,ne,tb,en
mondogatja,mon,dog,at,ja
követelte,kö,ve,tel,te
kérdéseire,kérd,és,ei,re
ünnepélyesen,ünnep,él,ye,sen
ünnepélyesen,ünnep,él,yes,en
fővárosba,fő,vár,os,ba
tanuljak,ta,nu,lj,ak
tetteiért,te,tt,ei,ért
teljesül,te,lj,es,ül
stadionban,st,ad,ion,ban
stadionban,st,adi,on,ban
internetet,int,er,net,et
szabályosan,szab,ál,yo,san
magunkban,ma,gun,kb,an
magunkban,mag,un,kb,an
állomásról,ál,lo,más,ról
állomásról,áll,om,ás,ról
mechanikus,me,cha,nik,us
mindamellett,min,da,melle,tt
jobboldali,jo,bb,old,ali
olyasvalami,oly,as,val,ami
olyasvalami,oly,as,vala,mi
olyasvalami,olyas,va,la,mi
paranormális,pa,ra,normál,is
paranormális,para,norm,ál,is
tarthatod,ta,rt,ha,tod
ajánlatod,aj,án,la,tod
javaslata,ja,vas,la,ta
gondolatolvasó,gon,dol,at,olvasó
kapcsolt,ka,pc,so,lt
hallgassam,hall,ga,ss,am
jobbulást,job,bu,lá,st
virginiai,vir,gi,ni,ai
egyetértett,eg,ye,tér,tett
egyetértett,egy,et,ér,tett
egyetértett,egy,et,érte,tt
egyetértett,egye,tér,te,tt
egyetértett,egyet,ér,te,tt
bántalmazott,bánt,alma,zo,tt
keltette,ke,lt,et,te
mutatjuk,mu,ta,tj,uk
időszakot,id,ős,zak,ot
időszakot,id,ősz,ak,ot
nyilvánvalóvá,nyilván,va,ló,vá
páncélozott,pán,cél,oz,ott
bölcsességet,bölcs,ess,ég,et
halálomat,hal,ál,om,at
unatkozni,una,tk,oz,ni
határozatlan,határ,oz,at,lan
imádkozott,imád,ko,zo,tt
családomtól,csa,lá,dom,tól
történettel,tört,én,et,tel
érezheted,ér,ez,he,ted
gyerekeimmel,gyere,ke,im,mel
teljesült,te,lj,es,ült
holtakat,ho,lt,ak,at
alejandro,al,ej,and,ro
munkatársak,mun,ka,társ,ak
tanultak,ta,nu,lt,ak
tanúvallomást,tanú,val,lo,mást
tanúvallomást,tanúval,lo,má,st
váljanak,vá,lj,an,ak
nővéreddel,nő,vér,ed,del
hárommal,há,ro,mm,al
egyféleképpen,egy,féle,kép,pen
egyféleképpen,egy,félek,ép,pen
egyféleképpen,egy,félek,épp,en
magyarázom,mag,ya,ráz,om
pillanatokat,pil,la,nato,kat
pillanatokat,pil,lana,to,kat
pillanatokat,pil,lana,tok,at
illinois,il,li,no,is
jóvátenni,jó,vá,ten,ni
tárgyalásokat,tárgy,al,ások,at
tárgyalásokat,tárgya,lá,so,kat
tárgyalásokat,tárgya,lá,sok,at
tárgyalásokat,tárgyal,ás,ok,at
hajtóművet,haj,tó,mű,vet
északnyugati,észak,nyu,ga,ti
unokámat,un,ok,ám,at
hullámot,hu,ll,ám,ot
címlapján,cím,la,pj,án
szellemileg,sze,ll,emil,eg
magafajta,ma,ga,faj,ta
életedről,él,et,ed,ről
mellékesen,mel,lé,ke,sen
mellékesen,mel,lé,kes,en
alkalmazottat,alkalma,zo,tt,at
kabátodat,ka,bá,tod,at
emlékezetét,em,lé,keze,tét
ajánlanak,aj,án,la,nak
ajánlanak,aj,án,lan,ak
szülinapos,szül,in,ap,os
augustus,au,gu,st,us
családjára,csa,lá,dj,ára
életedért,él,et,ed,ért
gyógyíthatatlan,gyógyít,hat,at,lan
erőszaknak,er,ős,zak,nak
erőszaknak,er,ősz,ak,nak
pillanatnak,pil,la,nat,nak
pillanatnak,pil,lan,at,nak
lábaidat,lá,ba,id,at
anyukámnak,any,uk,ám,nak
robbantó,ro,bb,an,tó
joghurtot,jog,hu,rt,ot
vitatkozom,vita,tk,oz,om
riportot,ri,po,rt,ot
családomhoz,csa,lá,dom,hoz
magánéletem,mag,án,élet,em
magánéletem,magán,él,et,em
titkárnőm,ti,tk,ár,nőm
raboltam,ra,bo,lt,am
kardforgató,kard,for,ga,tó
tönkretettél,tönkre,te,tt,él
tanúsított,tanú,sí,to,tt
önmagának,ön,mag,án,ak
tartoztok,ta,rt,oz,tok
vállamon,vá,ll,am,on
washingtonból,wa,shing,ton,ból
washingtonból,wash,ing,ton,ból
homokban,ho,mo,kb,an
unalmasnak,un,al,mas,nak
szerszámokat,szer,szám,ok,at
halálában,ha,lá,lá,ban
halálában,ha,lá,láb,an
hatalmasak,ha,tal,mas,ak
hatalmasak,hat,al,mas,ak
végrendeletet,vég,ren,del,etet
végrendeletet,vég,rendel,et,et
villamos,vi,ll,am,os
hivataltól,hi,va,tal,tól
hivataltól,hiv,at,al,tól
fagylaltot,fagy,la,lt,ot
baltimore,bal,ti,mo,re
specialitásom,special,it,ás,om
városokat,vá,ro,so,kat
városokat,vá,ro,sok,at
városokat,vár,os,ok,at
rendszereket,rend,sze,re,ket
gyerekeidet,gyere,ke,id,et
halálakor,ha,lá,la,kor
halálakor,hal,ál,ak,or
szeressenek,szer,es,se,nek
operálni,op,er,ál,ni
nemleges,ne,ml,eg,es
egyesület,eg,ye,sül,et
egyesület,eg,yes,ül,et
egyesület,egy,es,ül,et
gondolkodok,gon,dol,ko,dok
anyukámmal,any,uk,ám,mal
fontosabbak,font,os,ab,bak
találniuk,tal,ál,ni,uk
kocsidban,ko,csi,db,an
vesztegetem,vesz,te,get,em
csalással,csa,lá,ss,al
változhat,vá,lt,oz,hat
értesítette,ér,te,sí,tette
fejeteket,fe,je,te,ket
emlékeimet,em,lé,kei,met
mentességet,men,te,ss,éget
mentességet,men,tess,ég,et
mentességet,ment,ess,ég,et
kutatásokat,kutat,ás,ok,at
hivatalból,hi,va,tal,ból
hivatalból,hiv,at,al,ból
fergeteges,fer,get,eg,es
fergeteges,ferg,et,eg,es
fájdalommentes,fáj,dal,om,mentes
fájdalommentes,fáj,dalom,ment,es
halhatott,hal,ha,to,tt
családomra,csa,lá,dom,ra
férfiakra,fér,fi,ak,ra
magasabban,mag,as,ab,ban
magasabban,mag,asa,bb,an
magasabban,maga,sa,bb,an
álláspontja,áll,ás,pont,ja
térdeljen,tér,de,lj,en
egyikőtöknek,egyik,őt,ök,nek
látogass,lá,to,ga,ss
választásokat,választ,ás,ok,at
tudatalatti,tudat,al,at,ti
társadalomnak,tár,sa,dalom,nak
társadalomnak,társa,dal,om,nak
társadalomnak,társad,al,om,nak
karakterek,ka,ra,kt,erek
társammal,tár,sa,mm,al
változtatok,vált,oz,ta,tok
futottak,fu,to,tt,ak
nyilvántartásba,nyilván,tart,ás,ba
háromezer,há,rom,ez,er
háromezer,hár,om,ez,er
dominium,do,mi,ni,um
rajtakapott,raj,ta,kap,ott
rajtakapott,raj,tak,ap,ott
rajtakapott,rajt,ak,ap,ott
rajtakapott,rajt,aka,po,tt
rajtakapott,rajta,ka,po,tt
kamerákkal,ka,me,rák,kal
hagyhattad,hagy,ha,tt,ad
doktorok,do,kt,or,ok
találatot,tal,ál,at,ot
ruhákban,ru,há,kb,an
államokat,ál,la,mo,kat
államokat,ál,lam,ok,at
államokat,áll,am,ok,at
várakozni,vá,rak,oz,ni
várakozni,vár,ak,oz,ni
hallgassak,hall,ga,ss,ak
homlokán,ho,ml,ok,án
házasodott,ház,as,odo,tt
házasodott,háza,so,do,tt
életjelei,él,et,jel,ei
parkolási,par,ko,lá,si
sorozatos,so,roz,at,os
sorozatos,sor,oz,at,os
módszereket,mód,sze,re,ket
évforduló,év,for,du,ló
követelnek,kö,ve,tel,nek
januárban,ja,nu,ár,ban
látomása,lá,to,má,sa
állapotos,ál,lap,ot,os
állapotos,áll,ap,ot,os
fiatalkori,fi,at,al,kori
fiatalkori,fia,tal,ko,ri
fiatalkori,fiat,al,ko,ri
telefonáltál,tele,fo,nál,tál
pihenést,pi,he,né,st
vasárnaponként,va,sár,napon,ként
vasárnaponként,vas,ár,napon,ként
kevesebbért,ke,ve,seb,bért
kevesebbért,ke,vese,bb,ért
kevesebbért,kev,es,eb,bért
projekten,pro,je,kt,en
magabiztosnak,ma,ga,biztos,nak
kapcsoljon,ka,pc,sol,jon
hasonlóképpen,ha,son,ló,képpen
hasonlóképpen,has,on,ló,képpen
hasonlóképpen,hason,ló,kép,pen
helyettest,hel,ye,tt,est
helyettest,hely,et,te,st
maradhattok,ma,radha,tt,ok
maradhattok,mar,ad,hat,tok
maradhattok,marad,ha,tt,ok
mondogatod,mon,do,ga,tod
franciaországból,fran,cia,ország,ból
várhatóan,vár,ha,tó,an
ígéretemet,ígér,et,em,et
menekültél,me,nek,ül,tél
menekültél,me,nek,ült,él
gyűjteménye,gyűjt,em,én,ye
nadrágja,na,dr,ág,ja
szellemmel,sze,ll,em,mel
szánalmasan,szán,al,ma,san
szánalmasan,szán,al,mas,an
diktálja,di,kt,ál,ja
julianne,ju,li,an,ne
magatartás,ma,ga,tart,ás
magatartás,mag,at,art,ás
magatartás,maga,ta,rt,ás
mutathatok,mu,ta,that,ok
bipoláris,bi,pol,ár,is
félresikerült,fél,re,si,került
félresikerült,fél,re,siker,ült
félresikerült,félre,sik,er,ült
valamelyiket,va,la,melyik,et
valamelyiket,vala,mel,yi,ket
robbanásban,rob,ban,ás,ban
korántsem,kor,án,ts,em
eseményen,es,em,én,yen
délnyugati,dél,nyu,ga,ti
menedzserem,men,edz,se,rem
menedzserem,men,edz,ser,em
napsugaram,nap,su,ga,ram
házasságuk,háza,ss,ág,uk
önmagamat,ön,mag,am,at
férfiakról,fér,fi,ak,ról
barátomra,ba,rá,tom,ra
manchester,man,che,st,er
kézzelfogható,kézzel,fog,ha,tó
világunkat,vi,lá,gun,kat
energiám,en,er,gi,ám
szórólapot,szó,ról,ap,ot
tudomásomra,tu,do,másom,ra
tudomásomra,tudom,ás,om,ra
drágalátos,dr,ága,lát,os
tanácsadás,tan,ács,ad,ás
egyesített,eg,ye,sí,tett
egyesített,egye,sí,te,tt
agyhalott,agy,ha,lo,tt
napszemüveget,nap,szem,üveg,et
bújjatok,bú,jj,at,ok
csinálhatja,csi,nál,hat,ja
csinálhatja,csin,ál,hat,ja
házasságon,háza,ss,ág,on
gondoskodjak,gondos,ko,dj,ak
vietnamban,vi,et,nam,ban
iskolával,is,ko,lá,val
