corpus,chunk1,chunk2,chunk3,score,joke
félreértettem,félre,ér,tettem,,
félreértettem,félre,ért,ettem,,
félreértettem,félre,értett,em,,
halálbüntetést,hal,ál,büntetést,,
néninek,né,ni,nek,,
rontott,ron,to,tt,,
műtétje,mű,tét,je,,
karbantartó,kar,ban,tartó,2,
árvaházban,ár,va,házban,,
árvaházban,árva,ház,ban,2,
számítógépen,számító,gép,en,2,
űrhajót,űr,ha,jót,2,
amerikaiakat,amerikai,ak,at,,
színpadról,szín,pad,ról,,
joanie,jo,an,ie,,
amerikait,am,erika,it,,
forrásom,forr,ás,om,,
alaptalan,al,ap,talan,,
alaptalan,alap,ta,lan,,
alaptalan,alap,tal,an,,
valódinak,való,di,nak,2,
valódinak,valód,in,ak,,
dolgaidat,dolga,id,at,,
sanjana,san,ja,na,2,
jönnötök,jön,nö,tök,,
szállodai,szál,lo,dai,,
hazavinni,haza,vin,ni,,
fogatlan,fog,at,lan,,
társaságra,társas,ág,ra,,
szereznek,szer,ez,nek,,
gyújtotta,gyújt,ot,ta,,
vesztetted,vesz,tett,ed,2,
időtök,id,őt,ök,,
fejeket,fe,je,ket,,
mosott,mo,so,tt,,
dugott,du,go,tt,,
sírjon,sí,rj,on,,
keating,ke,at,ing,,
bútorok,bú,tor,ok,,
gyártani,gyár,ta,ni,,
varázsa,va,ráz,sa,,
hadnagynak,had,nagy,nak,2,
talajt,ta,la,jt,,
athena,at,he,na,,
érzelmeit,érzel,me,it,,
nővéredet,nő,véred,et,,
nővéredet,nővé,red,et,,
nővéredet,nővér,ed,et,,
álmaidat,ál,maid,at,,
álmaidat,álma,id,at,,
zenélni,zen,él,ni,,
értenem,ér,te,nem,2,
értenem,ér,ten,em,,
értenem,ért,en,em,2,
vérdíjat,vér,díj,at,,
proctor,pro,ct,or,,
temetni,te,met,ni,,
nyakamat,nyak,am,at,,
ártottam,árt,ot,tam,,
ártottam,árt,ott,am,,
gondatlan,gond,at,lan,,
rosszfiút,rossz,fi,út,,
házának,ház,án,ak,,
roxanne,rox,an,ne,,
szarvast,szar,va,st,,
hajszálon,haj,szál,on,,
dallal,da,ll,al,,
raktárból,rak,tár,ból,,
szuperül,szu,per,ül,,
furának,fu,rá,nak,2,
kalapos,ka,la,pos,,
kalapos,ka,lap,os,,
kalapos,kal,ap,os,,
fogaid,fo,ga,id,,
jegyzőkönyvet,jegyző,könyv,et,,
forduló,for,du,ló,,
abnormális,ab,normál,is,,
igazinak,igaz,in,ak,,
álmaidban,ál,maid,ban,,
álmaidban,álma,id,ban,,
álmaidban,álmai,db,an,,
örökölted,örök,öl,ted,,
örökölted,örök,ölt,ed,,
tanárnak,tan,ár,nak,,
biztosította,biztosít,ot,ta,,
támadásról,támad,ás,ról,,
mobilon,mo,bi,lon,,
homárt,ho,má,rt,,
másodpercenként,másod,percen,ként,,
másodpercenként,másodperc,en,ként,2,
vállalatnak,vállal,at,nak,,
családomban,család,om,ban,2,
tévedésből,téved,és,ből,,
menekülünk,me,nek,ülünk,,
nagypapi,nagy,pa,pi,,
másvalaki,más,val,aki,3,más val aki
parancsoljanak,parancsol,ja,nak,,
parancsoljanak,parancsol,jan,ak,,
parancsoljanak,parancsolj,an,ak,,
fővárosa,fő,vá,rosa,,
halálig,hal,ál,ig,,
bourbon,bo,ur,bon,,
vádoltak,vá,dol,tak,,
pénztáros,pénz,tár,os,,
pénztáros,pénzt,ár,os,,
táncosok,tánc,os,ok,,
egyéniség,egyén,is,ég,,
nővéremnek,nő,vérem,nek,,
nővéremnek,nővé,rem,nek,,
nővéremnek,nővér,em,nek,,
ősrégi,ős,ré,gi,,
flörtölni,flört,öl,ni,,
számítottak,számít,ot,tak,,
számítottak,számít,ott,ak,2,
eredetit,ered,et,it,,
újdonsült,új,don,sült,,
poharam,po,ha,ram,,
habozás,hab,oz,ás,,
hotelből,ho,tel,ből,,
lakoma,la,ko,ma,,
munkatárs,mun,ka,társ,,
énemet,én,em,et,,
telefonáljon,tele,fonál,jon,,
telefonáljon,telefon,ál,jon,,
vezérkari,vezér,ka,ri,,
testvéremnek,test,vérem,nek,2,
testvéremnek,testvér,em,nek,,
otthagyja,ott,hagy,ja,,
johanna,jo,han,na,,
mozgalmas,moz,gal,mas,,
helyiségben,hely,is,égben,2,
ikertestvére,iker,test,vére,,
bármennyit,bár,men,nyit,,
bármennyit,bár,menny,it,,
hitelkártyáját,hi,tel,kártyáját,,
humora,hu,mo,ra,,
iljimae,il,ji,mae,,
iljimae,il,jim,ae,,
patkányokat,patkány,ok,at,,
gondban,gon,db,an,,
kétszeres,két,szer,es,,
hagyhatta,hagy,hat,ta,,
kapcsolatotok,kapcsolat,ot,ok,,
testének,te,st,ének,,
érzelmeid,érzel,me,id,,
tagjainak,tag,jai,nak,,
tagjainak,tagja,in,ak,,
izgatottnak,izgat,ott,nak,2,
majdhogynem,majd,hogy,nem,3,majd hogy nem
lábukat,lá,bu,kat,,
lábukat,láb,uk,at,,
barátomtól,barát,om,tól,,
vádolta,vá,dol,ta,,
bántanak,bánt,an,ak,,
hikari,hi,ka,ri,,
nézheted,néz,he,ted,,
sokaknak,sok,ak,nak,2,
érdeme,ér,de,me,,
útvonalon,út,vonal,on,,
számlára,szám,lá,ra,2,
meneküljön,me,nek,üljön,,
amerikaiaknak,amerikai,ak,nak,2,
véremet,vér,em,et,,
jóisten,jó,is,ten,,
jóisten,jó,ist,en,,
jóisten,jói,st,en,,
mentetted,men,tett,ed,,
mentetted,ment,et,ted,,
férjednek,fér,jed,nek,,
férjednek,férj,ed,nek,,
hálóba,há,ló,ba,,
műsorom,mű,so,rom,,
műsorom,mű,sor,om,,
várossal,vá,ross,al,,
várossal,vár,os,sal,,
engemet,en,gem,et,,
rohangál,ro,hang,ál,,
lassie,la,ss,ie,,
dobozból,dob,oz,ból,,
takarja,ta,kar,ja,,
vádolt,vá,do,lt,,
marhahús,mar,ha,hús,,
képességeimet,képesség,ei,met,,
képességeimet,képessége,im,et,,
szolgáltatni,szolgált,at,ni,,
láthatáron,lá,that,áron,,
láthatáron,lát,hat,áron,2,
láthatáron,lát,határ,on,,
láthatáron,láthat,ár,on,,
szülinapomra,szülinap,om,ra,,
hasonlókat,hason,ló,kat,,
atyaisten,at,ya,isten,,
atyaisten,atya,is,ten,,
atyaisten,atya,ist,en,,
könyvekben,könyve,kb,en,,
dumálj,du,má,lj,,
észreveszik,ész,re,veszik,,
tudományosan,tudomány,os,an,,
jelennek,jel,en,nek,2,
látszatot,látsz,at,ot,,
nehezebben,ne,hez,ebben,2,
nehezebben,neheze,bb,en,,
eszközökkel,eszköz,ök,kel,,
hullanak,hull,an,ak,,
emeletről,emel,et,ről,,
temetve,te,met,ve,,
barátságtalan,barátság,ta,lan,,
barátságtalan,barátság,tal,an,,
humoros,hu,mor,os,,
szememnek,szem,em,nek,,
álmodok,ál,mo,dok,,
félreértett,fél,re,értett,2,
félreértett,félre,ér,tett,,
félreértett,félre,érte,tt,,
szerencsejátékos,szerencse,játék,os,,
maradhatna,mar,adhat,na,,
maradhatna,marad,hat,na,3,marad hat na
adhatja,ad,hat,ja,,
faszomat,fasz,om,at,,
durranás,durr,an,ás,,
hivatalba,hiv,at,alba,,
festés,fe,st,és,,
lányomról,lá,nyom,ról,,
lányomról,lány,om,ról,2,
borzalom,borz,al,om,,
joghurt,jog,hu,rt,,
parrish,par,ri,sh,,
önkéntesek,ön,ként,esek,2,
féregjárat,fér,eg,járat,,
féregjárat,féreg,jár,at,,
padjára,pa,dj,ára,,
valamink,va,la,mink,,
juttat,ju,tt,at,,
övezet,öv,ez,et,,
árulhatom,árul,ha,tom,2,
árulhatom,árul,hat,om,,
nyilvántartás,nyilván,tart,ás,2,
egyeztem,egy,ezt,em,2,
véleményen,vélem,én,yen,,
gondolattal,gondol,at,tal,,
irányítanak,irányít,an,ak,,
kocsinál,ko,csi,nál,,
kocsinál,ko,csin,ál,,
forduljatok,fordul,ja,tok,,
forduljatok,fordulj,at,ok,,
babona,ba,bo,na,2,
rémálma,rém,ál,ma,,
követelt,kö,ve,telt,,
követelt,köve,te,lt,,
bűntársa,bűn,tár,sa,,
bűntársa,bűnt,ár,sa,,
jóbarátok,jó,ba,rátok,,
jóbarátok,jó,barát,ok,,
házastársi,házas,tár,si,,
istentelen,isten,tel,en,2,
julián,ju,li,án,,
kérdéseimre,kérdése,im,re,,
adriana,ad,ri,ana,,
ígéretem,ígér,et,em,,
rajtakaptam,raj,ta,kaptam,,
rajtakaptam,rajta,kap,tam,2,
ízléstelen,ízlés,tel,en,,
utasításaimat,utasítása,im,at,,
lakbér,la,kb,ér,,
születni,szül,et,ni,,
rablásért,rab,lá,sért,,
vámpírokat,vámpír,ok,at,,
fejezed,fe,je,zed,,
fejezed,fej,ez,ed,,
másoktól,má,sok,tól,2,
másoktól,más,ok,tól,2,
testvérének,te,st,vérének,,
testvérének,test,vér,ének,,
ügyvédjével,ügyvéd,jé,vel,,
szemközti,szem,köz,ti,,
nagyokat,nagy,ok,at,,
istennője,is,ten,nője,,
istennője,ist,en,nője,,
istennője,isten,nő,je,,
vallást,val,lá,st,,
pihenőt,pi,he,nőt,,
állapotot,ál,lapot,ot,,
erőinket,erő,in,ket,,
véghezvinni,vég,hez,vinni,,
véghezvinni,véghez,vin,ni,,
koromig,ko,ro,mig,,
koromig,ko,rom,ig,,
koromig,kor,om,ig,2,
érzelmeim,érzel,me,im,,
nyereség,nyer,es,ég,,
szeretetből,szer,etet,ből,,
szeretetből,szeret,et,ből,,
karjaiba,kar,jai,ba,,
fogaim,fo,ga,im,,
buchanan,bu,chan,an,,
autóhoz,au,tó,hoz,,
láthatott,lá,that,ott,,
láthatott,lát,hat,ott,2,
páncélos,pán,cél,os,,
lifttel,li,ft,tel,,
skywalker,sky,walk,er,,
darabjaira,da,rabja,ira,,
darabjaira,da,rabjai,ra,,
darabjaira,darab,ja,ira,,
darabjaira,darab,jai,ra,2,
angelina,ange,li,na,,
monique,mo,ni,que,,
tumort,tu,mo,rt,,
haverokkal,ha,ver,okkal,,
haverokkal,haver,ok,kal,,
ajánlatomat,ajánl,atom,at,,
ajánlatomat,ajánlat,om,at,,
halhatok,hal,ha,tok,,
halhatok,hal,hat,ok,,
jameson,ja,me,son,,
jameson,jam,es,on,,
kellenének,kell,en,ének,2,
kezeimet,keze,im,et,,
keveredni,ke,vered,ni,,
keveredni,kev,ered,ni,,
keveredni,kever,ed,ni,,
kompot,ko,mp,ot,,
hangosak,hang,os,ak,,
állatoknak,álla,tok,nak,,
állatoknak,állat,ok,nak,2,
unokatestvéred,un,oka,testvéred,,
unokatestvéred,uno,ka,testvéred,,
unokatestvéred,unoka,test,véred,,
unokatestvéred,unoka,testvér,ed,,
bízzatok,bízz,at,ok,,
forognak,fo,rog,nak,,
virágokkal,vir,ág,okkal,,
virágokkal,virág,ok,kal,,
világháborúban,világ,háború,ban,3,világ háború ban
egyeseknek,egy,esek,nek,2,
hibáztathatod,hibáztat,ha,tod,,
erődben,erő,db,en,,
készenléti,készen,lé,ti,,
csatatéren,csa,ta,téren,,
csatatéren,csata,tér,en,2,
őrnagyot,őr,nagy,ot,,
főhadiszállás,fő,hadi,szállás,,
kezdheti,kezd,he,ti,2,
bármelyiket,bár,melyik,et,2,
sebészet,seb,ész,et,,
világi,vi,lá,gi,,
iszonyatosan,iszonyat,os,an,,
alattam,al,at,tam,,
taxisofőr,ta,xi,sofőr,,
taxisofőr,taxis,of,őr,,
számlája,szám,lá,ja,,
sylvie,sy,lv,ie,,
jóváhagyta,jó,vá,hagyta,,
jóváhagyta,jóvá,hagy,ta,,
bűneiért,bűn,ei,ért,,
államnak,ál,lam,nak,,
államnak,áll,am,nak,2,
mentsem,men,ts,em,,
hasonlítható,hasonlít,ha,tó,,
csalást,csa,lá,st,,
dolgozzatok,dolgozz,at,ok,,
westen,we,st,en,,
tárgyalok,tárgy,al,ok,,
köteléket,kö,tel,éket,,
álltatok,áll,ta,tok,,
álltatok,állt,at,ok,,
részmunkaidős,rész,munka,idős,2,
orromat,or,rom,at,,
orromat,orr,om,at,,
támadásnak,támad,ás,nak,,
jutottatok,jutott,at,ok,,
színpadi,szín,pa,di,,
cartert,car,te,rt,,
telefonba,tele,fo,nba,,
gyerekkorunkban,gyerek,korunk,ban,2,
vatikán,va,ti,kán,,
rákerestem,rák,er,estem,,
lakásomat,lakás,om,at,,
rendelet,ren,del,et,,
házvezetőnő,ház,vezető,nő,2,
ugyanezen,ugy,an,ezen,,
ugyanezen,ugyan,ez,en,2,
vezérigazgatója,vezér,igazgató,ja,,
alapokat,alap,ok,at,,
ugyanannak,ugy,an,annak,,
ugyanannak,ugyan,an,nak,2,
ugyanannak,ugyan,ann,ak,,
köszöntelek,kösz,ön,telek,,
bánatos,bá,nat,os,,
lépcsőt,lé,pc,sőt,,
fejezned,fej,ez,ned,,
general,gen,er,al,,
születés,szül,et,és,,
olyasmiket,oly,as,miket,,
olyasmiket,olyas,mi,ket,,
olyasmiket,olyas,mik,et,,
helyrehozom,hely,re,hozom,2,
helyrehozom,helyre,hoz,om,2,
tarthatja,tart,hat,ja,2,
műsorba,mű,sor,ba,2,
stanford,st,an,ford,,
lovasság,lova,ss,ág,,
romero,ro,me,ro,,
forgatáson,forgat,ás,on,,
hibáit,hi,bá,it,,
embereimmel,embere,im,mel,,
partjainál,part,jai,nál,,
dakota,da,ko,ta,,
poharakat,po,ha,rakat,,
poharakat,po,hara,kat,,
védenie,véd,en,ie,,
milliárdot,milli,ár,dot,,
kendall,ken,da,ll,,
adófizetők,adó,fizet,ők,,
számláit,szám,lá,it,,
haladjon,hal,ad,jon,,
haladjon,hal,adj,on,,
tanítottad,tanít,ot,tad,,
tanítottad,tanít,ott,ad,,
féktelen,fék,tel,en,,
hányinger,hány,ing,er,,
gyerekeimnek,gyereke,im,nek,,
követelek,kö,ve,telek,,
parányi,par,án,yi,,
mindkettőtök,mind,kettő,tök,2,
mindkettőtök,mind,kettőt,ök,,
készültök,ké,szül,tök,,
készültök,ké,szült,ök,,
készültök,kész,ül,tök,,
készültök,kész,ült,ök,,
partija,par,ti,ja,,
hajtanak,haj,ta,nak,,
hajtanak,haj,tan,ak,,
hajtanak,hajt,an,ak,,
merülve,mer,ül,ve,,
tulajdonosok,tulajdon,os,ok,,
seggfejet,segg,fe,jet,,
seggfejet,segg,fej,et,,
tönkreteszem,tönkre,te,szem,,
tönkreteszem,tönkre,tesz,em,,
lovakkal,lo,vak,kal,,
olyasvalakivel,oly,as,valakivel,,
olyasvalakivel,olyas,val,akivel,,
olyasvalakivel,olyas,valaki,vel,2,
unalom,un,al,om,,
hazamehetek,haza,me,hetek,,
napjuk,na,pj,uk,,
gyerekének,gyere,ké,nek,2,
végrehajtó,végre,haj,tó,,
útálom,út,ál,om,,
családos,csa,lá,dos,,
másikhoz,má,sik,hoz,,
szállítanak,szállít,an,ak,,
büntetésem,büntet,és,em,,
kapcsolatosan,kapcsol,at,osan,,
kapcsolatosan,kapcsolat,os,an,,
kopott,ko,po,tt,,
gyermekemet,gyermek,em,et,,
húgoddal,hú,god,dal,,
meneküljetek,me,nek,üljetek,,
lábaddal,lá,bad,dal,,
lábaddal,láb,ad,dal,,
lábaddal,láb,add,al,,
szexista,szex,is,ta,2,
szülőkkel,szül,ők,kel,,
ugyancsak,ugy,an,csak,,
villámcsapás,villám,csap,ás,,
dustin,du,st,in,,
callahan,cal,la,han,,
callahan,call,ah,an,,
mártír,má,rt,ír,,
okozhatja,okoz,hat,ja,,
akadnak,ak,ad,nak,,
embereimnek,embere,im,nek,,
hitetni,hit,et,ni,,
bántsanak,bánt,sa,nak,,
bántsanak,bánt,san,ak,,
bántsanak,bánts,an,ak,,
egészségtelen,egészség,tel,en,,
városom,vár,os,om,,
főváros,fő,vár,os,,
agyamban,agy,am,ban,,
katrine,kat,ri,ne,,
képviselőt,kép,visel,őt,2,
látomások,lá,to,mások,,
látomások,lá,tom,ások,,
látomások,lát,om,ások,,
látomások,látom,ás,ok,,
találka,tal,ál,ka,,
gyártott,gyár,to,tt,,
anyajegy,an,ya,jegy,,
anyajegy,any,aj,egy,,
fenyegetésnek,fenyeget,és,nek,2,
hozhatod,hoz,ha,tod,2,
zsebkendőt,zseb,kend,őt,,
hajtotta,hajt,ot,ta,,
martint,ma,rt,int,,
oszolj,os,zo,lj,,
samson,sa,ms,on,,
doreen,do,re,en,2,
testemen,test,em,en,2,
fokozott,fok,oz,ott,,
mattie,ma,tt,ie,,
utasítására,utasít,ás,ára,,
lábnyomok,láb,nyom,ok,,
hétfőig,hét,fő,ig,2,
határidőt,ha,tár,időt,2,
határidőt,hat,ár,időt,2,
határidőt,határ,id,őt,,
kaphatnak,kap,hat,nak,3,kap hat nak
bogarakat,bo,ga,rakat,,
bogarakat,bo,garak,at,,
paranoid,para,no,id,,
pillanatokban,pillanat,ok,ban,2,
gyerekeinek,gyere,kei,nek,2,
gyerekeinek,gyerek,ei,nek,2,
rabbit,ra,bb,it,,
mennyországba,menny,ország,ba,2,
szabadnapos,szab,ad,napos,,
szabadnapos,szab,adna,pos,,
szabadnapos,szabad,na,pos,2,
szabadnapos,szabad,nap,os,2,
jegyezve,jegy,ez,ve,,
háromból,há,rom,ból,,
háromból,hár,om,ból,,
hakeem,ha,ke,em,,
közöltem,köz,ölt,em,,
műtétem,mű,tét,em,,
fiataloknak,fiatal,ok,nak,2,
margarita,mar,ga,rita,,
lábával,lá,bá,val,,
városról,vár,os,ról,2,
dimitri,di,mit,ri,,
lowell,lo,we,ll,,
rendelkezett,rendel,keze,tt,,
szokásosnál,szokás,os,nál,,
fegyverszünetet,fegyver,szünet,et,,
boomer,bo,om,er,,
danielt,dan,ie,lt,,
motorok,mo,tor,ok,,
helyrehozzuk,hely,re,hozzuk,2,
helyrehozzuk,helyre,hozz,uk,,
könyvelést,könyve,lé,st,,
egyesülés,eg,yes,ülés,,
egyesülés,egy,es,ülés,,
egyesülés,egye,sül,és,,
egyesülés,egyes,ül,és,2,
hozhatom,hoz,ha,tom,3,hoz ha tom
hozhatom,hoz,hat,om,2,
dallamot,dal,lam,ot,,
hercegnője,herceg,nő,je,,
vitorlát,vi,tor,lát,,
állatnak,áll,at,nak,2,
üldögélni,ül,dög,élni,,
delgado,del,ga,do,,
szálltál,szál,lt,ál,,
gyermekkori,gyermek,ko,ri,,
járattal,jár,at,tal,,
istenről,is,ten,ről,2,
istenről,ist,en,ről,2,
alistair,al,ist,air,,
alistair,ali,st,air,,
végrendelet,vég,rendel,et,,
munkatársai,mun,ka,társai,,
munkatársai,munka,tár,sai,,
munkatársai,munka,társ,ai,,
nevedben,neve,db,en,2,
fokhagyma,fok,hagy,ma,,
létrehozta,lét,re,hozta,2,
létrehozta,létre,hoz,ta,2,
keverve,ke,ver,ve,,
keverve,kev,er,ve,,
játszótéren,játszó,tér,en,2,
asztalánál,asztal,án,ál,,
védőügyvéd,védő,ügy,véd,,
finomnak,fin,om,nak,,
játszatok,játsz,at,ok,,
gaston,ga,st,on,,
követelte,köve,tel,te,,
kérdéseire,kérdés,ei,re,2,
szolgálatba,szolgál,at,ba,,
fővárosba,fő,város,ba,2,
érdekei,ér,de,kei,,
bújjon,bú,jj,on,,
jelemre,jel,em,re,,
ajtótól,aj,tó,tól,,
tetteiért,tett,ei,ért,2,
teljesül,tel,je,sül,,
intézed,int,éz,ed,,
akadtak,ak,ad,tak,,
bútort,bú,to,rt,,
bácsival,bá,csi,val,,
szabályosan,szabály,os,an,,
tányérokat,tányér,ok,at,,
supergirl,su,per,girl,,
morgana,mor,ga,na,,
pirula,pi,ru,la,,
utasokat,utas,ok,at,,
csatlakozzatok,csatlakozz,at,ok,,
támogatásra,támogat,ás,ra,,
sajtburgert,sa,jt,burgert,,
állomásról,ál,lo,másról,,
állomásról,állom,ás,ról,,
ursula,ur,su,la,,
mindamellett,min,da,mellett,,
pingvinek,ping,vi,nek,,
édesanyádnak,édes,anyád,nak,2,
sittről,si,tt,ről,,
készítenem,készít,en,em,,
követned,kö,vet,ned,,
istened,is,te,ned,2,
istened,is,ten,ed,,
istened,ist,en,ed,,
jobboldali,jobb,old,ali,2,
mellem,me,ll,em,,
olyasvalami,oly,as,valami,,
olyasvalami,olyas,val,ami,2,
olyasvalami,olyas,vala,mi,,
fogadtad,fog,ad,tad,,
árulónak,áru,ló,nak,,
drótozva,drót,oz,va,,
rendeznek,rend,ez,nek,,
alkatrész,al,kat,rész,,
mérföldekre,mér,földek,re,,
szemüveged,szem,üveg,ed,,
hozzámegyek,hozz,ám,egyek,,
hobbim,ho,bb,im,,
népesség,nép,ess,ég,,
népesség,népe,ss,ég,,
paranormális,pa,ra,normális,2,
paranormális,para,normál,is,,
tarthatod,tart,ha,tod,2,
igérem,ig,ér,em,,
computer,com,put,er,,
vegas-ban,ve,ga,s-ban,,
földeken,föl,de,ken,,
gondolatolvasó,gondol,at,olvasó,,
valakin,val,ak,in,,
házadba,ház,ad,ba,2,
alhatok,al,ha,tok,,
alhatok,al,hat,ok,,
adhatna,ad,hat,na,2,
buliból,bu,li,ból,,
hatéves,hat,év,es,,
élvezettel,él,vezet,tel,,
élvezettel,élvez,et,tel,,
vonzalom,vonz,al,om,,
santana,san,ta,na,2,
mozdulatlan,mozdul,at,lan,,
valója,va,ló,ja,,
férjéről,fér,jé,ről,,
győztese,győz,te,se,2,
egyetértett,egy,et,értett,,
egyetértett,egye,tér,tett,2,
egyetértett,egyet,ér,tett,2,
egyetértett,egyet,érte,tt,2,
atléta,at,lé,ta,,
töröltem,tör,ölt,em,,
kezelési,keze,lé,si,,
reménykedj,remény,ke,dj,,
függőség,függ,ős,ég,,
gondolataidat,gondolata,id,at,,
harapok,ha,rap,ok,,
szobatársak,szoba,társ,ak,,
mertél,me,rt,él,,
melóból,me,ló,ból,,
adatbázist,ad,at,bázist,,
keltette,ke,lt,ette,,
keltette,kelt,et,te,,
támadással,támad,ás,sal,,
támadással,támad,áss,al,,
kanállal,kan,áll,al,,
ablakán,ab,la,kán,,
csillaghajó,csillag,ha,jó,,
hadsereggel,had,se,reggel,2,
feszültnek,fe,szült,nek,,
időszakot,idős,zak,ot,,
holmija,hol,mi,ja,2,
általuk,ál,tal,uk,,
helyrehozza,hely,re,hozza,2,
lábadon,lá,ba,don,,
lábadon,lá,bad,on,,
lábadon,láb,ad,on,,
gyerekeivel,gyere,kei,vel,2,
gyerekeivel,gyerek,ei,vel,2,
nyilvánvalóvá,nyilván,való,vá,2,
páncélozott,pán,céloz,ott,,
páncélozott,páncél,oz,ott,,
hamuvá,ha,mu,vá,,
langston,lang,st,on,,
hazafias,haza,fi,as,,
bölcsességet,bölcs,ess,éget,,
hazamehetünk,haza,me,hetünk,,
pietro,pi,et,ro,,
amúgyis,am,úgy,is,2,
halálomat,hal,álom,at,,
halálomat,halál,om,at,,
dobálni,do,bál,ni,,
dobálni,dob,ál,ni,,
anyjukat,any,ju,kat,,
közeléből,köze,lé,ből,,
mindegyiküket,mind,egyikük,et,,
határozatlan,határoz,at,lan,,
díjnyertes,díj,nyert,es,2,
fősulin,fő,su,lin,,
családomtól,család,om,tól,2,
történettel,történ,et,tel,,
érezheted,ér,ez,heted,,
érezheted,érez,he,ted,,
bizalmi,biz,al,mi,,
gyerekeimmel,gyereke,im,mel,,
indokot,in,dok,ot,,
munkásokat,munkás,ok,at,,
agyafúrt,agya,fú,rt,,
társával,tár,sáv,al,,
ilyenem,il,ye,nem,,
ilyenem,il,yen,em,,
ilyenem,ily,en,em,,
holdkóros,hold,kór,os,,
dokumentumfilmet,dokumentum,film,et,,
teljesült,tel,je,sült,,
holtakat,hol,ta,kat,,
holtakat,hol,tak,at,,
holtakat,holt,ak,at,,
fájdalmad,fáj,dal,mad,2,
egyazon,egy,az,on,3,egy az on
érjenek,ér,je,nek,,
munkatársak,mun,ka,társak,,
munkatársak,munka,társ,ak,,
nyakadon,nyak,ad,on,,
tanúvallomást,tanúval,lo,mást,,
követnem,kö,vet,nem,,
mohamed,mo,ham,ed,,
orrodat,or,rod,at,,
kubában,ku,bá,ban,,
kubában,ku,báb,an,,
képesnek,kép,es,nek,2,
ruhával,ru,há,val,,
főnökömmel,főnök,öm,mel,,
váljanak,válj,an,ak,,
közeledni,közel,ed,ni,,
alexnek,al,ex,nek,,
ügyfelét,ügy,fe,lét,,
parancsomra,parancs,om,ra,,
magányosak,magány,os,ak,,
nővéreddel,nő,véred,del,,
nővéreddel,nővé,red,del,,
nővéreddel,nővér,ed,del,,
hanyatt,han,ya,tt,,
rendszernek,rend,szer,nek,,
kalandot,ka,lan,dot,,
kalandot,ka,land,ot,,
kalandot,kal,an,dot,,
kalandot,kal,and,ot,,
romano,ro,ma,no,,
delinda,de,lin,da,,
delinda,del,in,da,,
hárommal,há,rom,mal,,
hárommal,hár,om,mal,,
repülőgépet,repülő,gép,et,,
olyanról,oly,an,ról,,
buckingham,buck,ing,ham,,
egyféleképpen,egy,féle,képpen,2,
egyféleképpen,egy,félek,éppen,3,egy félek éppen
egyféleképpen,egyféle,kép,pen,,
tulaja,tu,la,ja,,
szenvedélye,szenved,él,ye,,
ismerne,is,mer,ne,,
denevérek,den,ev,érek,,
lopásért,lo,pá,sért,,
lopásért,lop,ás,ért,,
pillanatokat,pillanat,ok,at,,
találó,ta,lá,ló,,
próbaidőn,próba,id,őn,,
árokban,ár,ok,ban,,
ramona,ra,mo,na,2,
évtized,év,ti,zed,,
próbáljanak,próbál,ja,nak,,
próbáljanak,próbál,jan,ak,,
próbáljanak,próbálj,an,ak,,
szebben,sze,bb,en,,
kapcsol,ka,pc,sol,,
peralta,per,al,ta,,
azoknál,az,ok,nál,2,
rejtettem,re,jt,ettem,,
halljak,hal,lj,ak,,
jóvátenni,jó,vá,tenni,,
jóvátenni,jóvá,ten,ni,,
tárgyalásokat,tárgya,lá,sokat,,
tárgyalásokat,tárgyal,ások,at,,
tárgyalásokat,tárgyalás,ok,at,,
aktivista,ak,ti,vista,,
készítsenek,készít,se,nek,2,
szerezhetünk,szer,ez,hetünk,,
északnyugati,és,zak,nyugati,2,
északnyugati,ész,ak,nyugati,,
párolt,pá,ro,lt,,
ügyvédei,ügy,véd,ei,,
egymagad,egy,mag,ad,,
címlapra,cím,lap,ra,3,cím lap ra
utolérni,utol,ér,ni,,
hullámot,hull,ám,ot,,
kezeteket,keze,te,ket,,
atombombát,at,om,bombát,,
napotok,na,po,tok,,
napotok,nap,ot,ok,,
repülőjegyet,repülő,jegy,et,,
fogalom,fo,gal,om,,
fogalom,fog,al,om,,
szellemileg,szellem,il,eg,,
moreno,mo,re,no,2,
ijesztettél,ijeszt,et,tél,,
támogatására,támogat,ás,ára,,
fizetésed,fizet,és,ed,,
camilla,cam,il,la,,
magafajta,ma,ga,fajta,,
magafajta,maga,faj,ta,,
alkalmasabb,alkalma,sa,bb,,
kapoor,ka,po,or,,
életedről,élet,ed,ről,2,
natalia,na,ta,lia,,
szavazzanak,szavazz,an,ak,,
menetre,me,net,re,,
menetre,men,et,re,,
sodort,so,do,rt,,
adatott,ad,at,ott,,
adatott,ada,to,tt,,
műholdat,mű,hold,at,,
folytatás,folyt,at,ás,,
mellékesen,mellé,ke,sen,,
mellékesen,mellé,kes,en,2,
kérést,ké,ré,st,,
államból,ál,lam,ból,,
államból,áll,am,ból,,
járaton,jár,at,on,2,
delfinek,del,fi,nek,,
részedről,ré,szed,ről,2,
részedről,rés,zed,ről,,
részedről,rész,ed,ről,2,
horogra,ho,rog,ra,,
merjen,me,rj,en,,
fogalmát,fo,gal,mát,,
fogalmát,fog,al,mát,,
vágások,vág,ás,ok,,
vásárra,vá,sár,ra,,
katalin,ka,ta,lin,,
katalin,ka,tal,in,,
katalin,kat,al,in,,
